日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng),权重(%)weight
20220831,000300,沪深300,CSI 300,603369,今世缘,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.152
20220831,000300,沪深300,CSI 300,603806,福斯特,"HANGZHOU FIRST PV MATERIAL Co., LTD.",上海证券交易所,Shanghai  Exchange,0.181
20220831,000300,沪深300,CSI 300,603019,中科曙光,"Dawning Information Industry Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.161
20220831,000300,沪深300,CSI 300,300408,三环集团,"CHAOZHOU THREE-CIRCLE(GROUP)CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.163
20220831,000300,沪深300,CSI 300,002736,国信证券,"GUOSEN SECURITIES CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.14
20220831,000300,沪深300,CSI 300,300413,芒果超媒,"Mango Excellent Media Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.109
20220831,000300,沪深300,CSI 300,601021,春秋航空,"Spring Airlines Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.094
20220831,000300,沪深300,CSI 300,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.197
20220831,000300,沪深300,CSI 300,603899,晨光股份,SHANGHAI M&G STATIONERY INC.,上海证券交易所,Shanghai  Exchange,0.086
20220831,000300,沪深300,CSI 300,603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",上海证券交易所,Shanghai  Exchange,0.497
20220831,000300,沪深300,CSI 300,300433,蓝思科技,"Lens Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.113
20220831,000300,沪深300,CSI 300,600958,东方证券,ORIENT SECURITIES COMPANY LIMITED,上海证券交易所,Shanghai  Exchange,0.237
20220831,000300,沪深300,CSI 300,300450,先导智能,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.316
20220831,000300,沪深300,CSI 300,601985,中国核电,"China National Nuclear Power Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.314
20220831,000300,沪深300,CSI 300,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.349
20220831,000300,沪深300,CSI 300,300498,温氏股份,"GUANGDONGWENSFOODSTUFFGROUPCO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.631
20220831,000300,沪深300,CSI 300,601155,新城控股,"Future Land Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.099
20220831,000300,沪深300,CSI 300,300496,中科创达,"Thunder Software Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.219
20220831,000300,沪深300,CSI 300,001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.243
20220831,000300,沪深300,CSI 300,002791,坚朗五金,"Guangdong KinLong Hardware Products Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.064
