-------------------- starting training ---------------------
finishing episode #342; episode reward: 0.6401649153740727
finishing episode #343; episode reward: 0.6561252983997701
finishing episode #344; episode reward: 0.63299838739502
finishing episode #345; episode reward: 0.6371153821438914
finishing episode #346; episode reward: 0.6740191623903018
finishing episode #347; episode reward: 0.6047069964604319
finishing episode #348; episode reward: 0.6109580428250233
finishing episode #349; episode reward: 0.6467851136642868
finishing episode #350; episode reward: 0.5431198995728015
finishing episode #351; episode reward: 0.6806132277236793
finishing episode #352; episode reward: 0.557037854197521
finishing episode #353; episode reward: 0.5923577514671302
finishing episode #354; episode reward: 0.6985098782300024
finishing episode #355; episode reward: 0.6263032504085936
finishing episode #356; episode reward: 0.6363357481722792
finishing episode #357; episode reward: 0.6403995220221321
finishing episode #358; episode reward: 0.6555246932105209
finishing episode #359; episode reward: 0.6070478508918179
finishing episode #360; episode reward: 0.6346762095148848
finishing episode #361; episode reward: 0.554255510467937
finishing episode #362; episode reward: 0.5695219726159518
finishing episode #363; episode reward: 0.6785147124270228
finishing episode #364; episode reward: 0.6108379469868475
finishing episode #365; episode reward: 0.6246644745018319
finishing episode #366; episode reward: 0.5639909707671307
finishing episode #367; episode reward: 0.5324091789634101
finishing episode #368; episode reward: 0.6432956656902373
finishing episode #369; episode reward: 0.644759546063157
finishing episode #370; episode reward: 0.645104962375293
finishing episode #371; episode reward: 0.6245582153707202
finishing episode #372; episode reward: 0.6926332217733142
finishing episode #373; episode reward: 0.6492368729699529
finishing episode #374; episode reward: 0.7180085052069372
finishing episode #375; episode reward: 0.697535682560517
finishing episode #376; episode reward: 0.6883591965453852
finishing episode #377; episode reward: 0.6802197661736368
finishing episode #378; episode reward: 0.6348139940966626
finishing episode #379; episode reward: 0.5891514023529106
finishing episode #380; episode reward: 0.7097305265167715
finishing episode #381; episode reward: 0.7109405693329921
finishing episode #382; episode reward: 0.6478081818492935
finishing episode #383; episode reward: 0.6365297996788989
finishing episode #384; episode reward: 0.6602731772764374
finishing episode #385; episode reward: 0.7060402857664746
finishing episode #386; episode reward: 0.6804553553331677
finishing episode #387; episode reward: 0.6468591443267031
finishing episode #388; episode reward: 0.6240565841052317
finishing episode #389; episode reward: 0.7377891344833192
finishing episode #390; episode reward: 0.6052672978838914
finishing episode #391; episode reward: 0.6417111594215651
finishing episode #392; episode reward: 0.7268032380869774
finishing episode #393; episode reward: 0.6710747145853866
finishing episode #394; episode reward: 0.6707654014081116
finishing episode #395; episode reward: 0.6975033592899698
finishing episode #396; episode reward: 0.6959882507859428
finishing episode #397; episode reward: 0.5802025528159248
finishing episode #398; episode reward: 0.7243167732468276
finishing episode #399; episode reward: 0.6489962508402172
finishing episode #400; episode reward: 0.5864443818028586
finishing episode #401; episode reward: 0.7182925724156254
finishing episode #402; episode reward: 0.5530983188498179
finishing episode #403; episode reward: 0.717071987876722
finishing episode #404; episode reward: 0.7053771619957033
finishing episode #405; episode reward: 0.6960478269262659
finishing episode #406; episode reward: 0.6742587390813942
finishing episode #407; episode reward: 0.7798574463073458
finishing episode #408; episode reward: 0.7688343662839927
finishing episode #409; episode reward: 0.7384794974014687
finishing episode #410; episode reward: 0.8081178983677167
finishing episode #411; episode reward: 0.7157935856783623
finishing episode #412; episode reward: 0.765219920823617
finishing episode #413; episode reward: 0.7517644481266085
finishing episode #414; episode reward: 0.7331373312624562
finishing episode #415; episode reward: 0.7693602308942314
finishing episode #416; episode reward: 0.7867708523921259
finishing episode #417; episode reward: 0.7924174326980874
